"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size_training","batching_strategy","command","context_length","dataset","gamma","gradient_accumulation_steps","gradient_clipping","gradient_clipping_threshold","lora_alpha","lora_ckpt_path","lora_dropout","lora_r","lora_target","lr","max_eval_step","max_train_step","max_val_step","method","metric.goal","metric.name","model_name","model_type","num_epochs","num_experts","num_experts_per_tok","num_workers_dataloader","output_dir","parameters.batch_size_training","parameters.batching_strategy","parameters.context_length","parameters.dataset","parameters.gamma","parameters.gradient_accumulation_stepss","parameters.gradient_clippings","parameters.gradient_clipping_threshold","parameters.lora_alphas","parameters.lora_dropouts","parameters.lora_rs","parameters.lora_targets","parameters.lrs","parameters.max_eval_step","parameters.max_train_step","parameters.max_val_step","parameters.model_type","parameters.num_epochs","parameters.num_experts","parameters.num_experts_per_tok","parameters.num_workers_dataloader","parameters.output_dir","parameters.project","parameters.quant_type","parameters.run_validation","parameters.save_metrics","parameters.save_model","parameters.seed","parameters.use_moe","parameters.use_profiler","parameters.use_wandb","parameters.val_batch_size","parameters.weight_decays","penalty_alpha","profiler_dir","program","project","quant_type","run_validation","save_metrics","save_model","seed","use_moe","use_profiler","use_wandb","val_batch_size","weight_decay","parameters.gradient_accumulation_steps","parameters.gradient_clipping","parameters.lora_alpha","parameters.lora_dropout","parameters.lr","parameters.penalty_alpha","parameters.weight_decay","avg_checkpoint_time","avg_epoch_time","avg_eval_loss","avg_eval_prep","avg_train_loss","avg_train_prep","eval/loss","eval/perplexity","train/epoch","train/loss","train/step"
"solar-sweep-7","finished","-","","","2024-07-02T13:11:58.000Z","5971","","1","padding","","8192","cust_support","0.1","64","false","1","32","","0.1","32","[""all_linear"",""embed""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000015449986676685512","4590.469093186999","0.620671808719635","1.8601772785186768","0.00532663706690073","1.0053409337997437","0.620671808719635","1.8601772785186768","1","0.009349404834210873","9999"
"logical-sweep-4","finished","-","","","2024-07-02T08:07:21.000Z","5873","","1","padding","","8192","cust_support","0.1","64","false","1","32","","0.1","32","[""all_linear"",""output""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000023550001060357317","4501.6394443869995","0.6206732988357544","1.8601800203323364","0.0053550670854747295","1.0053695440292358","0.6206732988357544","1.8601800203323364","1","0.00939403474330902","9999"
"denim-sweep-11","finished","-","","","2024-07-03T10:41:32.000Z","6299","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","32","","0.1","32","[""all_linear"",""output""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.000002091997885145247","4616.332860048991","0.6206732988357544","1.8601800203323364","0.0053550670854747295","1.0053695440292358","0.6206732988357544","1.8601800203323364","1","0.00939403474330902","9999"
"fearless-sweep-7","finished","-","","","2024-07-03T03:52:18.000Z","6121","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","32","","0.1","8","[""all_linear"",""output""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000019550061551854014","4731.283837108","0.6208964586257935","1.8605952262878416","0.005354287568479776","1.005368709564209","0.6208964586257935","1.8605952262878416","1","0.009295941330492496","9999"
"usual-sweep-8","finished","-","","","2024-07-02T14:51:34.000Z","6782","","1","padding","","8192","cust_support","0.1","64","false","1","32","","0.1","128","[""all_linear"",""output""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000023430002329405397","5290.161970518002","0.6209771633148193","1.8607453107833865","0.005361915100365877","1.0053763389587402","0.6209771633148193","1.8607453107833865","1","0.009426195174455644","9999"
"sage-sweep-14","finished","-","","","2024-07-03T16:03:21.000Z","6847","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","128","","0.1","8","[""all_linear"",""output"",""embed""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000015980040188878777","5394.388718921007","0.6210980415344238","1.8609702587127688","0.005128426011651754","1.0051416158676147","0.6210980415344238","1.8609702587127688","1","0.01145884394645691","9999"
"trim-sweep-5","finished","-","","","2024-07-02T09:45:16.000Z","6166","","1","padding","","8192","cust_support","0.1","64","false","1","32","","0.1","32","[""all_linear""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.000001553999027237296","4572.3973333290005","0.6212931275367737","1.86133337020874","0.00536744249984622","1.0053818225860596","0.6212931275367737","1.86133337020874","1","0.00939489807933569","9999"
"fresh-sweep-3","finished","-","","","2024-07-01T23:21:56.000Z","6249","","1","padding","","8192","cust_support","0.1","64","false","1","32","","0.1","16","[""all_linear"",""output"",""embed""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000013179960660636425","4812.575600574026","0.6215706467628479","1.861850023269653","0.0053291525691747665","1.0053434371948242","0.6215706467628479","1.861850023269653","1","0.00933469459414482","9999"
"cosmic-sweep-10","finished","-","","","2024-07-03T09:02:35.000Z","5930","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","32","","0.1","16","[""all_linear"",""output"",""embed""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000014599936548620462","4533.953177244999","0.6215706467628479","1.861850023269653","0.0053291525691747665","1.0053434371948242","0.6215706467628479","1.861850023269653","1","0.00933469459414482","9999"
"serene-sweep-2","finished","-","","","2024-07-01T21:39:41.000Z","6131","","1","padding","","8192","cust_support","0.1","64","false","1","32","","0.1","16","[""all_linear""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.000002595013938844204","4688.3176676409785","0.6216604113578796","1.8620171546936035","0.005367723293602467","1.0053821802139282","0.6216604113578796","1.8620171546936035","1","0.009270762093365192","9999"
"stellar-sweep-8","finished","-","","","2024-07-03T05:34:26.000Z","6158","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","32","","0.1","8","[""all_linear"",""output"",""embed""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.000002378001227043569","4754.3971207959985","0.6245439052581787","1.8673940896987915","0.005334428045898676","1.0053486824035645","0.6245439052581787","1.8673940896987915","1","0.00988085474818945","9999"
"hearty-sweep-8","finished","-","","","2024-06-25T14:10:10.000Z","6243","2wzxvikn","1","padding","","8192","cust_support","0.1","128","false","1","48","","0.2","16","[""all_linear""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0.03","","","","","","","","0.00000235304469242692","4781.9860046620015","0.6375797390937805","1.891896367073059","0.0028603440150618553","1.0028644800186155","0.6375797390937805","1.891896367073059","1","0.00496005779132247","9999"
"faithful-sweep-4","finished","-","","","2024-07-02T22:41:43.000Z","6052","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","8","","0.1","16","[""all_linear"",""output"",""embed""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000021880041458643973","4652.833108583","0.6485177874565125","1.9127037525177","0.005856956820935011","1.0058741569519043","0.6485177874565125","1.9127037525177","1","0.009705433622002602","9999"
"fragrant-sweep-6","finished","-","","","2024-07-03T02:04:50.000Z","6442","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","8","","0.1","32","[""all_linear"",""output"",""embed""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000013299868442118168","5020.919651402997","0.6487424969673157","1.9131335020065308","0.005859126336872578","1.0058764219284058","0.6487424969673157","1.9131335020065308","1","0.00973602943122387","9999"
"azure-sweep-2","finished","-","","","2024-07-02T19:13:54.000Z","6114","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","8","","0.1","8","[""all_linear"",""output"",""embed""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.000001268999767489731","4666.707596004999","0.6489163637161255","1.913466215133667","0.005849775858223438","1.0058670043945312","0.6489163637161255","1.913466215133667","1","0.00952158309519291","9999"
"colorful-sweep-5","finished","-","","","2024-06-25T05:57:39.000Z","6914","2wzxvikn","1","padding","","8192","cust_support","0.1","1","true","1","48","","0.2","64","[""all_linear"",""embed""]","0.00001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.000001695007085800171","5351.11983137799","0.6505243182182312","1.9165453910827637","0.3330618143081665","1.3952335119247437","0.6505243182182312","1.9165453910827637","1","0.6330478191375732","9999"
"logical-sweep-3","finished","-","","","2024-07-02T20:55:56.000Z","6342","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","8","","0.1","16","[""all_linear"",""output""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.000006613998266402632","4932.621610308997","0.6514207720756531","1.9182642698287964","0.005892956629395485","1.0059103965759275","0.6514207720756531","1.9182642698287964","1","0.009746968746185304","9999"
"feasible-sweep-5","finished","-","","","2024-07-03T00:22:40.000Z","6128","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","8","","0.1","32","[""all_linear"",""output""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000013320022844709456","4728.532540627006","0.6514847874641418","1.9183871746063232","0.005895338952541351","1.0059127807617188","0.6514847874641418","1.9183871746063232","1","0.009753192774951458","9999"
"wandering-sweep-1","finished","-","","","2024-07-02T17:27:34.000Z","6378","bbfdp6i1","1","padding","","8192","cust_support","0.1","64","false","1","8","","0.1","8","[""all_linear"",""output""]","0.0001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000017359998309984803","4939.943366293999","0.6516727209091187","1.9187476634979248","0.005893213674426079","1.0059106349945068","0.6516727209091187","1.9187476634979248","1","0.009683478623628616","9999"
"polar-sweep-17","finished","-","","","2024-06-27T02:24:18.000Z","8115","2wzxvikn","1","padding","","8192","cust_support","0.1","128","true","1","448","","0.2","64","[""all_linear"",""embed"",""output""]","0.00001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0.03","","","","","","","","0.000001692038495093584","6189.506141399033","0.6554867625236511","1.9260798692703247","0.0029565368313342333","1.0029609203338623","0.6554867625236511","1.9260798692703247","1","0.005299102049320936","9999"
"restful-sweep-10","finished","-","","","2024-06-26T12:18:07.000Z","7506","2wzxvikn","1","padding","","8192","cust_support","0.1","128","true","1","448","","0.2","32","[""all_linear"",""embed""]","0.00001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.000002482964191585779","5677.972137393954","0.6600199937820435","1.9348310232162476","0.002978232456371188","1.00298273563385","0.6600199937820435","1.9348310232162476","1","0.005130311008542776","9999"
"eternal-sweep-1","finished","-","","","2024-06-24T21:57:33.000Z","6976","2wzxvikn","1","padding","","8192","cust_support","0.1","1","false","1","256","","0.2","16","[""all_linear""]","0.000001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000018820283003151417","5125.366314898012","0.8522709012031555","2.344965934753418","0.4266204833984375","1.5320711135864258","0.8522709012031555","2.344965934753418","1","0.8009015321731567","9999"
"astral-sweep-9","finished","-","","","2024-06-25T15:54:17.000Z","6624","2wzxvikn","1","padding","","8192","cust_support","0.1","32","true","1","448","","0.1","32","[""all_linear"",""embed"",""output""]","0.000001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000011299853213131428","5015.800401195011","0.886749804019928","2.4272279739379883","0.014899182133376598","1.0150107145309448","0.886749804019928","2.4272279739379883","1","0.02671118453145027","9999"
"rose-sweep-15","finished","-","","","2024-06-26T22:36:46.000Z","6805","2wzxvikn","1","padding","","8192","cust_support","0.1","1","true","1","256","","0.2","64","[""all_linear"",""embed""]","0.000001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0.03","","","","","","","","0.000001528998836874962","5253.585254922975","0.9240927696228028","2.5195813179016113","0.4509488642215729","1.5698009729385376","0.9240927696228028","2.5195813179016113","1","0.9041000604629515","9999"
"crisp-sweep-12","finished","-","","","2024-06-26T16:42:53.000Z","6190","2wzxvikn","1","padding","","8192","cust_support","0.1","32","false","1","256","","0.2","64","[""all_linear"",""embed""]","0.000001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0.03","","","","","","","","0.0000016559497453272345","4740.488846717984","0.9244268536567688","2.520423173904419","0.016264045611023903","1.0163969993591309","0.9244268536567688","2.520423173904419","1","0.027361879125237465","9999"
"dry-sweep-6","finished","-","","","2024-06-25T07:52:58.000Z","6462","2wzxvikn","1","padding","","8192","cust_support","0.1","32","true","1","256","","0","128","[""all_linear"",""embed"",""output""]","0.000001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0.03","","","","","","","","0.0000017039710655808449","5007.246945924009","0.9302676320075988","2.5351877212524414","0.01589309051632881","1.0160200595855713","0.9302676320075988","2.5351877212524414","1","0.027446361258625984","9999"
"royal-sweep-7","finished","-","","","2024-06-25T12:21:18.000Z","6530","2wzxvikn","1","padding","","8192","cust_support","0.1","128","false","1","48","","0.2","64","[""all_linear"",""embed"",""output""]","0.00001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0.03","","","","","","","","0.0000015309778973460195","4970.715377124958","0.9624234437942504","2.6180334091186523","0.00428913626819849","1.0042983293533323","0.9624234437942504","2.6180334091186523","1","0.007064329460263252","9999"
"dry-sweep-11","finished","-","","","2024-06-26T14:23:32.000Z","8356","2wzxvikn","1","padding","","8192","cust_support","0.1","64","true","1","256","","0.2","64","[""all_linear"",""embed""]","0.000001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0","","","","","","","","0.0000014409888535737991","6463.440044532006","0.9974443316459656","2.711343765258789","0.008735230192542076","1.0087735652923584","0.9974443316459656","2.711343765258789","1","0.014725547283887863","9999"
"lilac-sweep-19","finished","-","","","2024-06-27T06:30:06.000Z","7932","2wzxvikn","1","padding","","8192","cust_support","0.1","64","false","1","256","","0.2","32","[""all_linear"",""embed"",""output""]","0.000001","10000","10000","","","","","llama3_8b","instruct","1","8","2","1","parameter_tuning/llama3_4bit","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","testrun/profiler/results","","llama3_hyperparameter_search","nf4","true","false","false","1","false","false","true","1","0.03","","","","","","","","0.0000013770186342298985","6021.528072267014","1.0340266227722168","2.8123674392700195","0.00893106497824192","1.008971095085144","1.0340266227722168","2.8123674392700195","1","0.015217263251543043","9999"
